X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
87,260,219,0.01913797814,651956.774161316,762675.903666699,644629.381465632,742947.210973263,0.1077078679968,0.0885698898568,2020.24588934428,2020.26502732242,73200000,hCoV-19/Belgium/ULG-10125/2020|EPI_ISL_427390|2020-04-07|Europe,Liège,Liège,4840,4623
88,261,222,0.01284540984,638764.811659113,711820.603811759,641853.003867354,737438.687762229,0.0557952996968,0.0429498898568,2020.20026934428,2020.21311475412,73200000,hCoV-19/Belgium/ULG-8578/2020|EPI_ISL_418638|2020-03-19|Europe,Liège,Liège,4520,4053
89,261,221,0.03470333333,638764.811659113,711820.603811759,638286.95104289,712287.472478975,0.0776532231868,0.0429498898568,2020.20026934428,2020.23497267761,73200000,hCoV-19/Belgium/DV-0327353/2020|EPI_ISL_462207|2020-03-27|Europe,Liège,Liège,4520,4520
90,262,263,0.00190000000000001,653642.564260074,709021.587485297,653587.039094611,708717.354182706,0.0156298898608,0.0137298898608,2020.17104934428,2020.17294934428,73200000,NA,Liège,Liège,4257,4257
91,263,265,0.00190000000000001,653587.039094611,708717.354182706,653587.039094611,708717.354182706,0.0175298898608,0.0156298898608,2020.17294934428,2020.17484934428,73200000,NA,Liège,Liège,4257,4257
92,263,264,0.00190000000000001,653587.039094611,708717.354182706,653587.039094611,708717.354182706,0.0175298898608,0.0156298898608,2020.17294934428,2020.17484934428,73200000,NA,Liège,Liège,4257,4257
93,264,225,1.4043715799994e-05,653587.039094611,708717.354182706,647897.629285267,753547.553714908,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,73200000,hCoV-19/Belgium/GS-030549/2020|EPI_ISL_418798|2020-03-05|Europe,Liège,Liège,4257,4650
94,264,224,1.4043715799994e-05,653587.039094611,708717.354182706,653586.838460594,708724.50496763,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,73200000,hCoV-19/Belgium/GOF-030578/2020|EPI_ISL_420334|2020-03-05|Europe,Liège,Liège,4257,4257
95,265,226,1.4043715799994e-05,653587.039094611,708717.354182706,648034.618587523,754696.324714976,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,73200000,hCoV-19/Belgium/ULG-3163/2020|EPI_ISL_417006|2020-03-05|Europe,Liège,Liège,4257,4650
96,265,266,0.03085,653587.039094611,708717.354182706,649085.115792157,736748.909314748,0.0483798898608,0.0175298898608,2020.17484934428,2020.20569934428,73200000,NA,Liège,Liège,4257,4020
97,266,268,0.03264,649085.115792157,736748.909314748,648709.277924221,736698.246161473,0.0810198898608,0.0483798898608,2020.20569934428,2020.23833934428,73200000,NA,Liège,Liège,4020,4020
